ro,en
l-ai,you
tată,father
plec,I am leaving
s-ar,WOULD
vorba,words
greu,hard
viaţă,life
vedea,see
mi-ai,You
d-le,Mr.
dumnezeu,God
tipul,type
desigur,Of course
drumul,the road
nu-ţi,do not
minute,minutes
dracu,hell
înţeleg,I see
trebuit,had
murit,DIED
ajuta,it helps
femeie,woman
idee,idea
copil,child
aveţi,you have
gândit,thought
ultima,last
moment,time
primul,the first
aceea,that
multumesc,thanks
sper,hope
noastre,our
data,date
merg,go
s-au,or
seama,out
erau,They were
bune,good
aşteaptă,Wait
făcut-o,done it
spune-mi,Tell me
urmă,follow
tare,loud
griji,worry
înţeles,meaning
cazul,case
poti,You can
vreo,some
problema,problem
buna,Hi
nu-l,not it
cauza,Cause
între,between
ajunge,that's enough
duci,go
ce-i,What's
camera,the room
ajutor,help
mort,dead
noaptea,the night
vorbim,talk
corect,correct
cand,When
întotdeauna,ever
minunat,wonderful
încercat,tried
poftim,here you go
ucis,murdered
pune,put
vreodată,ever
vorbeşti,talk
fiul,sonny
ciudat,strange
unei,of a
dumnezeule,Dear good
probleme,problems
problemă,problem
vorbit,spoken
adus,brought
familia,the family
simţi,feel
lasă-mă,let me alone
luni,months
altă,other
faţă,face
ales,chosen
uită-te,behold
crede,believe
cale,way
credeam,I thought
te-a,you
ascultă,listen
nicio,any
casă,home
duce,lead
dă-mi,give me
bucur,joy
uitat,forgotten
cunosc,know
acel,that
încredere,trust
facut,made
singură,one
oricum,anyway
mergi,go
altceva,something else
primit,received
asemenea,also
faţa,face
lume,world
ochii,the eyes
acord,agreement
cinci,five
fată,face
veni,come
patru,four
mulţi,many
siguranţă,safety
lăsat,dropped off
telefon,phone
prins,caught
fratele,brother
băieţi,boys
simplu,simple
asta-i,that's
salut,Hello
ţi-a,did he
uşor,Easy
maşina,car
prieten,friend
omul,man
dragă,Dear
i-ai,You
important,important
găsi,find
lângă,by
puteţi,you can
grozav,that's great
doamnă,Ms
câte,by
vina,fault
zici,about
şi-a,and
vorbi,TALK
dolari,dollars
acea,that
pasă,pasha
ne-a,us
faceţi,make
maşină,car
sunat,call
ești,you
mâna,hand
ştim,stimulus
rahat,bullshit
știu,know
pleci,leave
prieteni,friendship
odată,once time
pleacă,leaves
stau,stay
drum,road
alte,other
dvs.,you.
astfel,so
curând,soon
întors,returned
mi-e,thousand
n-ar,would
doua,two
arată,to miss
începe,you start
nouă,nine
de-a,of the
singura,one
gând,thinking
treabă,the job
trimis,Submitted
capul,head
copilul,the child
posibil,possible
singurul,the only one
soţia,wife
noroc,luck
legătură,link
spate,back
adevărul,truth
frumoasă,beautiful
aveam,I used to have
viata,life
împotriva,against
către,by
veţi,will you
inima,heart
lăsa,leave
încearcă,try
niciun,none
rămâne,remain
întoarce,turn
oraş,Town
să-şi,To
contează,counts
auzi,hear
prietenul,the friend
ştiţi,KNOW
nume,name
frate,brother
bărbat,man
chestia,the thing
astăzi,today
familie,family
pleca,leave
taci,remain silent
întâmpla,happen
spatele,the back
domnul,Mr
copiii,the kids
încerc,try
mers,walking
vreme,times
ştiam,I knew
pace,peace
mersi,thanks
ajut,help
întorc,return
fiica,daughter
le-am,I
deloc,not at all
motiv,reason
john,John
minte,mind
întreb,I'm asking
înţelegi,understand
ţine,keep
perfect,perfect
uita,forget
mari,big
amândoi,both
știi,Know
plecăm,leave
jack,jack
erai,you were
persoană,the person
dupa,after
mâinile,hands
ieşi,go out
devreme,early
muncă,the work
parcă,park
sora,sister
gândesc,I think
rămas,remaining
fericit,happy
amintesc,remember
plac,liking
sigură,secure
revedere,revision
dimineaţa,morning
mică,small
fiindcă,because
prost,dumbass
acelaşi,same
vină,guilt
naibii,hell
putin,little bit
urma,follow
sună,sounds
vreţi,want
nebun,crazy
arma,weapon
buni,Top
aduc,bring
jumătate,half
sânge,blood
intrat,entered
ţi-ai,you
spune-i,tell him
acestea,these
moarte,death
cunoscut,known
numărul,number
restul,restore
găsesc,I find
undeva,somewhere
mi-ar,I would
faptul,the fact
cerut,asked for
asupra,on
aduce,bring
doamna,Ms
drept,Right
cumva,perhaps
aflat,found
momentul,time
vadă,will give
toti,all
poliţia,the police
luăm,take
drăguţ,cute
ce-ai,what do you have
vreun,any
vrem,WANT
afara,outside
ultimul,last one
sa-l,shawl
moartea,the death
echipa,team
întâi,first
care-i,What
genul,kind
uneori,sometimes
altfel,otherwise
ştiut,knew
stat,state
unele,some
acela,that
înăuntru,in
deschide,open
scris,written
abia,only
clar,clear
trece,pass
reuşit,successful
schimbat,change
dimineaţă,morning
altcineva,someone else
prietenii,friends
devenit,became
ieri,yesterday
dori,like
aibă,have
pământ,earth
cameră,the room
amice,pal
tuturor,all
afla,find out
femei,Ladies
frică,fear
totuşi,however
sale,its
folosit,used
vorbeşte,speaks
normal,normal
liber,free
într-adevăr,really
intră,get in
lasă,leave
sfârşit,the end
voiam,wanted
soţul,husband
băiat,boy
săptămâni,wEEKLY
ăştia,these
l-au,they
încât,that
multă,much
greşit,wrong
război,war
milioane,MILLION
găsim,find
trecută,last
ideea,idea
biroul,the desk
vazut,seen
închisoare,prison
v-am,I
exista,there is
regula,rule
plus,addition
întâlnit,meeting
muri,die
amuzant,funny
sa-ti,to your
zice,say
spital,hospital
arăţi,show
jurul,around
lovit,hit
spună,tell
suficient,sufficient
trage,shoot
şansă,chance
doctor,doctor
plăcere,pleasure
draga,Dear
alea,those
domnilor,gentlemen
direct,direct
petrecere,party
oricine,anybody
plăcut,pleasant
felul,the kind
gura,the mouth
ochi,eyes
ucide,kill
traducerea,translation
telefonul,phone
special,special
şcoală,school
munca,the work
niste,some
omorât,killed
încerca,try
dispărut,missing
voastră,your
întâlnire,meeting
unii,some
cheamă,call
haideţi,come on
şase,six
ieşit,exit
fara,free
complet,completely
dragoste,love
zece,ten
povestea,the story
niciodata,never
sincer,sincere
arăt,show
dreapta,right
laşi,leave
scrie,write
opri,stop
obicei,custom
dumneavoastră,your
viitoare,upcoming
vechi,old
aştept,look
fugi,run
minut,minute
însă,but
afaceri,business
plăcea,like
michael,Michael
mâncare,food
dă-i,gives them
ajung,get
picioare,legs
anul,the year
schimb,change
întrebare,question
atâta,so much
charlie,Charlie
puternic,strong
toţii,all
rămâi,stay
aminteşti,remember
furat,stealing
intra,get in
ajutorul,help
cafea,coffee
promit,I promise
poveste,story
frank,Frank
scuză-mă,pardon me
gândeam,thinking
deoarece,because
treci,Skip
toata,all
lucrez,I'm working
luptă,the fight
film,movie
întrebat,questioned
prietene,friend
anume,certain
mamei,mother
plece,GO OF
bineînţeles,of course
sa-i,to them
mână,hand
vedere,view
iubito,honey
seară,in the evening
pana,until
întrebări,question
inca,yet
dreptul,the right
ceilalţi,the others
lupta,the fight
sa-mi,me
caut,I search
voie,will
george,George
lucrat,wrought
săptămână,week
le-a,them
doctore,doctorate
personal,personal
agent,agent
dracului,hell
femeia,woman
super,Super
fete,girls
ajute,help
cunoşti,know
puterea,the power
căpitane,Captain
birou,office
david,Davide
pregătit,prepared
mike,Mike
celor,the
york,York
adaptarea,the adaptation
mesaj,message
omoare,kill
prietena,girlfriend
meargă,go
gândeşti,think
doresc,I want
staţi,stay
masina,car
absolut,absolute
aceeaşi,same
acele,those
persoane,people
accident,accident
fiind,being
sunteti,are
crimă,crime
părinţii,the parents
evident,obvious
mi-au,me
simte,feels
pierde,lose
încerci,try
oamenilor,people
ordine,order
domnului,Mr.
spunem,tell
schimba,change
uiţi,look
noua,nine
stare,condition
mici,sMALL
continuă,keep going
învăţat,learned
rând,row
salvat,saved
ce-a,the
băiatul,boy
trimite,send
plan,plan
caută,search for
speriat,scared
folosi,use
urăsc,I hate
planul,the plan
fiule,sonny
m-au,me
suna,sounds
închis,closed
stie,know
foame,hunger
citit,read
secret,secret
lucrează,work
omor,murder
clipă,moment
mulțumesc,thanks
simţit,sense
privire,look
cauţi,look
presupun,I suppose
văzut-o,saw it
opreşte-te,Stop
masă,table
alta,other
fetele,girls
armă,weapon
cere,Ask
carte,book
află,find out
femeile,the women
teamă,the fear
rapid,fast
termină,finish
atat,both
veniţi,coming
zona,area
potrivit,right
asculta,listen
noştri,our
vostru,your
atent,careful
ascultă-mă,hear me out
oprit,torn off
primi,receive
dintr-o,a
acasa,the home
tatălui,father
băut,drinking
dragostea,love
cartea,book
alături,together
mintea,minds
lumina,the light
masa,table
că-i,it's
priveşte,look
întreaga,around
echipă,team
arme,arms
ocupat,busy
cina,dinner
gură,the mouth
droguri,drugs
baie,bathroom
aduci,bring
cuvânt,word
oară,time
stea,star
deschis,open
ocup,deal
dormi,are you sleeping
putere,power
precum,like
corpul,the body
răspunde,reply
răspuns,answer
poliţie,police
las-o,let her
aminte,memory
intre,between
oraşul,the city
pericol,danger
şeful,head
începem,Started
nebunie,madness
săptămâna,week
uită,forget
bravo,Bravo
rost,sense
iubit,beloved
puteam,could
credeţi,think
n-are,n is
plin,full
câştigat,win
altul,another
spuneţi,tell
fericită,happy
luat-o,took
v-aţi,you
lună,month
fugit,FLED
vedeţi,see
aceşti,these
cealaltă,other
ti-am,I've
decis,determined
continua,keep going
modul,module
scumpo,sweetheart
încep,start
interesant,interesting
fiţi,Be
crăciun,Christmas
peter,Peter
petrece,spend
celălalt,the other one
control,control
căzut,fell
rănit,injured
secunde,seconds
punct,point
tati,Daddy
noul,the new
henry,Henry
totdeauna,always
fundul,ass
crescut,grown
tras,fired
scoate,take out
slujba,job
calea,path
ajuţi,help
greşeală,error
supărat,angry
james,James
găseşti,find
doamnelor,Ladies
promis,promise
regele,The King
conduce,lead
scăpat,got rid
acestui,this
situaţia,the situation
sens,sense
vorbească,speak
luna,month
scuzaţi-mă,Excuse me
grija,care
cină,dinner
chestii,things
ajutat,helped
vede,sees
băiete,boy
spunea,said
imposibil,impossible
diferit,different
doare,it hurts
vremea,the weather
arata,to miss
aseară,last night
acestei,this
luaţi,take
întorci,return
rece,cold
n-au,they have
permite,Enable
ţi-e,to you
picioarele,legs
lucrezi,You work
n-aş,nose
avocat,lawyer
atenţie,Careful
paul,Paule
printre,through
câţiva,a few
vieţii,life
prinde,catch
negru,black
muzica,the music
serviciu,service
merită,deserve
informaţii,information
rămân,remain
cuvinte,wORDS
ajungem,get
persoana,the person
aveti,you have
hotel,hotel
periculos,dangerous
atac,attack
legătura,link
micul,Breakfast
inainte,before
petrecut,spent
indiferent,indifferent
drăguţă,sweetheart
general,general
proastă,stupid
unde-i,Where
distrus,destroyed
termina,finish
scos,out
numit,appointed
ultimele,latest
america,America
aflu,find
viitor,future
plătit,paid
părea,look
propria,own
moară,mill
afacere,business
poliţist,policeman
care-l,that it
aruncat,threw
ascuns,hidden
trec,I pass
adevarat,true
doctorul,doctor
încet,slow
baza,the base
alex,Alexi
apărut,published
folosesc,use
cuvântul,the word
voastre,your
dorit,wanted
succes,success
mâncat,eat
decat,than
arăta,to miss
devine,gets
le-ai,you
ştia,knew
plecaţi,Depart
câine,dog
mary,Maryse
unchiul,Uncle
băieţii,boys
voia,will
sistemul,the system
motivul,the reason
întâmple,happen
închide,hang up
felicitări,congratulations
lumii,world
jocul,the game
sângele,blood
pierd,lose
familiei,Family
vroiam,I wanted
ajungi,get
trăiesc,I'm alive
cumpărat,bought
moartă,dying
nava,vessel
i-au,I take
diseară,tonight
mori,die
danny,Danny
nenorocit,wretched
avion,plane
înţelege,understand
împuşcat,gun
incredibil,incredible
aştepta,wait
real,real
născut,born
locuri,seats
intru,enter
deveni,become
diferite,differently
harry,Harry
doilea,second
întoarcem,return
secundă,second
jimmy,Jimmy
tatal,FATHER
ce-ar,Why would
ne-au,us
slujbă,work
nu-ti,not your
ce-am,what I have
lista,list
bate,beat
stăm,stay
linişte,Quiet
bere,beer
plină,full
apropo,by the way
păcat,sin
semn,signal
dimineata,morning
câţi,how many
nord,north
petrecerea,party
gasit,finder
tony,Tony
crede-mă,believe me
deasupra,on top
salva,save
observat,noticed
sarah,Sarah
trezit,woken up
punem,we
final,final
nick,Nick
lucra,work
atinge,achieve
ajută-mă,help me
ne-ai,we have
sfârşitul,end
tânăr,young man
minţi,lying
lasa,leave
bolnav,sick
fă-o,do it
minunată,wonderful
ajută,it helps
sufletul,soul
omori,kill
exemplu,example
poți,You can
fund,background
deşi,although
companie,company
descoperit,found
poartă,gate
lungă,long
stânga,Left
întâlnim,meet
deranjează,disturb
trimit,send
grămadă,heap
întrebi,ask
funcţionează,working
nicăieri,nowhere
okay,Okaya
piciorul,leg
sala,Hall
oferit,given
cadou,gift
nimănui,anyone
iubire,love
întoarce-te,come back
jane,Jane
joci,play
noastra,Our
legat,tied up
credem,think
morţi,dead
verificat,verifier
magazin,store
încercăm,we try
următorul,next
mergeţi,Go
pari,you seem
şapte,seven
lăsăm,leave
cuiva,ANYONE
scot,out
trăi,live
iisuse,Jesus
vorbesti,talk
mulţime,LOT
să-ti,to your
părul,the hair
oriunde,anywhere
ştiai,you know
depinde,depends
richard,Richard
bill,Billie
zilele,days
doreşti,want
grea,tough
simti,feel
arestat,custody
viitorul,the future
port,I'm wearing
căpitanul,the captain
hainele,the clothes
capăt,end
adevărată,true
respect,respect
episodul,Episode
ţară,the country
detectiv,detective
singuri,themselves
iubeşti,love
rupt,torn
inapoi,back
joacă,play
grup,group
conduc,I am driving
intamplat,happen
primesc,I'm getting
intampla,happen
intr-o,a
chemat,called
securitate,security
idiot,idiotic
recunosc,Recognize
aştepţi,wait
alţii,others
ambele,both
punctul,the point
billy,Billy
încetează,ends
tommy,Tommy
apartamentul,apartment
alege,choose
mijlocul,middle
glumeşti,You're kidding
bătut,beaten
fetelor,girls
ce-ţi,what you
armele,the weapons
interesează,AFFECTING
aveai,had
paris,Paris
cine-i,Who
oare,really
număr,number
armata,army
pariu,bet
ia-o,take one
criminal,criminal
mutat,moved
majoritatea,most of them
suni,call
compania,company
sosit,arrive
căutat,looked up
regina,Queen
părăsit,leave
iată,there it is
adresa,Address
celelalte,other
veşti,news
sezonul,season
pierzi,You lose
strada,the street
ascunde,hide
metri,Metra
calmează-te,be calm
de-al,hill
cheia,the key
numesc,call
vorbă,words
jake,Jake
ceai,what do you have
urât,ugly
minţit,lied
angajat,employee
ducem,take
stradă,the street
încoace,here
marea,the sea
puteti,you can
afacerea,business
surpriză,surprise
aşa-i,huh
trag,shoot
ajungă,reach
jucat,played
importantă,importance
frumoase,beautiful
asigur,assure
prietenă,girlfriend
steve,patience
usor,Easy
chestie,stuff
johnny,Johnny
urmează,it follows
făcea,was
glumă,joke
purta,BEHAVE
misiune,mission
bărbaţi,Barbie
plătesc,I pay
curat,clean
ce-mi,what I
clasa,class
iese,out
prostii,Nonsense
distractiv,entertaining
aşteptat,waiting
apel,call
juca,play
mişcă,move
club,club
ţara,the country
multi,many
aşteptaţi,wait
rândul,row
părinte,parent
beau,I drink
dovezi,evidence
aşteptăm,we are waiting
continuare,continuation
scurt,short
distruge,destroy
trecem,get
rege,king
părere,opinion
cont,account
sergent,sergeant
m-aş,I would
mănâncă,EATING
câteodată,sometimes
căsătorit,married
nebună,madwoman
gândeşte-te,think
daţi,give
will,WILLIAM
întârziat,delayed
puternică,strong
onoare,honor
faca,make
vârsta,age
întâlnesc,meet
obține,Achieve
sînt,are
habar,idea
filmul,the movie
dura,last
dintr-un,a
american,American
lasă-l,let him
mami,Mommy
dulce,sweet
iubeşte,loves
intri,get
veche,old
porţi,GATES
ţinut,land
propriul,own
durere,pain
apare,appear
dorm,I'm sleeping
baltă,puddle
placă,plate
opreşte,stops
gândi,think
londra,London
zonă,area
bunica,grandmother
scuzaţi,excuse
carne,meat
ne-ar,We would
asteapta,Wait
următoarea,following
scape,escape
căutăm,we are looking for
mişca,move
oferi,offer
vocea,the voice
devin,are
rugăm,Please
faceti,make
centrul,the center
mulţumim,thank you
domnişoară,Ms.
bobby,Bobby
adica,meaning
mişto,cool
controlul,control
vorbind,speech
haine,clothes
uita-te,Watch
pământul,earth
total,total
vinovat,guilty
teren,ground
linia,the line
spectacol,show
aflăm,are
dificil,difficult
m-ar,Apple
ratat,lame duck
lung,long
războiul,the war
soldat,soldier
prostie,folly
condus,driving
sute,HUNDREDS
legea,the law
invitat,guest
zbor,flight
dejun,breakfast
eddie,Eddie
formă,form
numeşte,called
obosit,tired
sunteți,you
ducă,lead
proces,trial
descurc,handle
puţină,some
focul,fire
bătrân,old
aşadar,therefore
lăsaţi,flabby
ruşine,shame
opresc,stop
apropie,COMING
uimitor,amazing
grăbeşte-te,hurry up
urmărit,followed
pauză,pause
săturat,saturating
aveau,had
convins,convinced
ţi-o,and a
groaznic,terrible
răspunsul,the answer
lumină,the light
cutie,box
charles,Charles
plimbare,walk
schimbă,change
radio,radio
inimă,heart
perfectă,perfect
robert,Robert
necesar,necessary
soţie,wife
găsească,FIND
public,public
problemele,problems
plăti,payment
superi,upset
afli,are
dans,dance
ryan,Ryan
nunta,Wedding
datoria,duty
scrisoare,letter
ti-a,did he
daniel,Daniel
ceasul,the clock
limba,language
având,With
discutăm,discuss
norocos,lucky
energie,energy
milion,million
dormit,sleep
dragul,Dear
acei,those
excelent,excellent
marele,great
pună,Puna
termin,finish
motive,reason
mâncarea,the food
dincolo,beyond
mica,small
iasă,out
dă-te,Get
oricare,either one
victima,victim
obţine,Achieve
uitaţi,Remember
casei,house
arătat,showed
mark,MARKOS
mi-aş,I would
unor,of
baieti,boyish
apreciez,I appreciate
favoare,favor
date,data
fir-ar,Damn
mâini,hands
şcoala,school
mişcare,motion
ascult,listen
ridicol,ridiculous
stop,Stop
i-ar,and
avionul,the airplane
rugat,asked
lase,leave
câştiga,win
crimei,murder
mănânci,eat
acces,accession
sistem,system
cald,warm
apartament,apartment
explic,explain
macar,even
doriţi,want
frumoasa,beautiful
mândru,proud
morţii,death
cheile,keys
întrebarea,the question
preşedinte,chairman
veti,will you
păcate,Unfortunately
călătorie,travel
implicat,involved
adam,adamant
rămână,stay
somn,sleep
mânca,eat
chris,Chris
spune-le,Tell
aşteptam,we are waiting
ridică-te,Arise
tipi,guys
liberă,free
te-au,you have
găsit-o,found
câinele,dog
creat,made
verde,green
scriu,write
maria,increase
profesor,professor
ofiţer,officer
rezolva,solve
listă,list
extrem,extremely
muzică,the music
verific,CHECK
bază,the base
secrete,secret
frica,fear
prânz,Lunch
sotia,wife
ăsta-i,that's
moare,dies
siguranta,safety
martin,Martini
fierbinte,hot
animale,animated
pete,spots
miroase,it smells
arate,plowing
prezint,present
că-mi,that I
navă,vessel
începi,start
ceri,ask
iesi,out
intr-un,a
îngrijorat,anxious
trăit,lived
cuvintele,words
oras,Town
neregulă,wrong
pahar,glass
creierul,brains
scăpa,get rid
bănuiesc,I presume
regulile,rules
iubirea,love
misiunea,mission
permis,allowed
oprim,stop
inseamna,means
existat,there
atacat,attacked
corp,body
practic,practically
vinde,sell
l-aţi,you
ridicat,picked up
bunicul,the grandfather
neagră,black
eric,Eric
urgenţă,expedite
perioadă,period
treacă,passing
puțin,little bit
tipii,yell
ieşim,out
datorită,due to
programul,program
kate,Kate
cunoaşte,know
lucrul,working
lasa-ma,let me
kevin,Kevin
vândut,sold
înţelegere,understanding
trist,sad
băutură,drink
asculţi,listen
decizia,Decision
îndrăgostit,lover
interior,inside
durerea,pain
si-a,and
avocatul,lawyer
interiorul,within
atâtea,many
te-ar,You would
băgat,involved
supărată,angry
conform,conformable
aruncă,throws
cadavrul,body
că-l,horse
vizită,visit
revenit,return
blocat,blocked
guvernul,government
linie,line
lovitură,coup
trăiască,live
bărbaţii,men
tragi,shoot
mesajul,the message
explica,explain
pregătită,ready
poată,can
frig,cold
părut,thought
stim,We know
scott,Scott
thomas,Thomas
situaţie,situation
vârstă,age
trăieşte,lives
mi-o,ME
afle,learn
liceu,high school
plăcută,pleasant
agentul,agent
atins,reached
grozavă,great
regret,regret
foloseşte,uses
rele,bad
interesat,interested
degrabă,rather
căuta,search for
făcută,made
picior,foot
acestor,these
walter,Walter
arunca,THROW
întuneric,darkness
inteligent,intelligent
brian,Brian
cărţi,books
comanda,command
stricat,broken
contact,contact
fericire,happiness
treia,third
nu-şi,not and
înaintea,prior to
pădure,forest
ordin,order
soarele,sun
vorbiţi,do you speak
nuntă,Wedding
lungul,over
prind,catch
decizie,decision
relaţie,relationship
stiti,know
hotărât,decided
încântat,Pleased
privinţa,regard
că-ţi,how many
viața,life
preşedintele,the president
şefu,governor
poarta,gate
larry,Larry
copiilor,children
membru,member
ocazia,opportunity
întâlni,meet
uităm,look
bord,board
ocupa,busy
surprins,surprised
tara,the country
tânără,girl
descurci,deal
armată,army
puteai,could
citesc,I read
sticlă,glass
da-mi,give me
toți,all
anii,years
nu-s,I'm not
distanţă,distance
şansa,chance
tăiat,cut
trăieşti,live
dat-o,given
speram,hope
de-aici,from here
oricând,whenever
cauză,Cause
iartă-mă,excuse me
întrebam,wondering
animal,animal
mănânc,eat
poze,PICTURES
ultimii,recent
ţi-ar,you would
culcare,sleep
taxi,taxi
restaurant,restaurant
realizat,accomplished
dragule,dear
martor,BLANK
crima,crime
patul,the bed
culcat,lying down
ce-o,what
unchiule,uncle
rachel,Rachelle
curent,current
beat,drunk
team,fear
vreodata,ever
ridica,pick up
gunoi,trash
soare,sun
erou,hero
cateva,some
alţi,other
jason,Jason
costum,costume
pregătiţi,prepared
continui,continue
raportul,the report
roşu,Red
anna,Anna
istoria,the history
zilei,day
impreuna,together
unite,United
bucătărie,kitchen
schimbare,change
starea,mood
foloseşti,use
nivel,level
lipseşte,missing
plânge,cry
responsabil,responsive
întoarcă,return
vest,west
suflet,soul
iubitule,boyfriend
bătaie,beat
aducă,bring
nivelul,the
omorî,kill
scenă,scene
test,test
vorbeam,talking
maine,tomorrow
nenorocitule,motherfucker
d-na,Ms.
praf,dust
milă,mercy
ucidă,killing
tarziu,Late
pierdem,lose
proteja,protect
barca,Boat
inceput,beginning
aproximativ,approximate
intrăm,enter
nasul,nose
comun,common
spuneam,said
clipa,moment
rezolvat,solved
bogat,rich
chestiile,things
acelasi,same
pielea,skin
albă,white
urme,all
prezent,present
jerry,Jerry
făceam,doing
stiam,I knew
importante,important
emily,Emily
facut-o,done it
creadă,think
poză,picture
reală,THE REAL
construit,built
locuiesc,I live
crime,crimes
maşini,machinery
iubita,girlfriend
judecător,judge
luptat,FOUGHT
nopţii,night
scoala,school
bucată,piece
meci,match
cumpăr,I buy
căutarea,the quest
întreba,ask
oficial,official
sexy,sexy
ascultaţi,Listen
video,video
îndoială,doubt
ofer,I offer
poliţiei,police
bărbatul,man
oraşului,city
sine,itself
inteleg,understand
departamentul,department
fantastic,fantastic
matt,Matta
program,time schedule
cunoştinţă,acquaintance
n-avem,we have
cutia,box
kelly,Kelly
andy,Andy
sperăm,hope
l-ar,would
partenerul,partner
poza,picture
conduci,lead
mile,miles
laborator,laboratory
claire,CLAIR
biserică,the church
valoare,value
amândouă,both
culoare,color
flori,FLORA
mint,lie
pâna,until
păţit,Think
durează,takes
lisa,Lisa
grav,serious
uciderea,killing
annie,Annie
washington,Washington
istorie,history
kyle,Kyle
şi-au,have
te-aş,I would
gâtul,neck
pasa,pasha
jucăm,play
vineri,Friday
curaj,Courage
specială,special
planuri,plans
atenţia,Caution
ia-l,take him
intraţi,come in
fotbal,football
ucid,killing
ciudată,weird
magazinul,shop
luke,Luke
chem,call
pară,pear
niciunul,no one
anumite,some
gheaţă,ice
accepta,accept
locotenente,lieutenants
bancă,the bank
spaţiu,space-bar
judecată,judgment
aranjat,trim
liniştit,quiet
adânc,deep
planeta,the planet
jeff,Jeff
realitate,reality
discutat,discussed
lipsit,absent
puteți,you can
însărcinată,pregnant
venim,come
trecutul,past
scopul,the goal
clădire,building
înca,yet
vreti,want
nevinovat,innocent
oprească,stop
verifica,check it out
filme,movie
sune,sound
alice,shot
sean,Sean
scapi,Lose
soră,sister
risc,risk
insula,the island
întreg,whole
visul,the dream
rolul,the role
inteles,meaning
roma,Rome
banca,the bank
dosarul,file
urmele,footsteps
lapte,milk
emma,Emma
tren,train
gust,taste
scoatem,out
william,William
măsură,measure
nervos,nervous
trenul,the train
tineri,young people
televizor,TV
simon,Simon
scena,scene
să-ți,your
fiului,to the son
poziţia,the position
curs,course
întâlnirea,the meeting
ordinele,orders
eliberat,ISSUED
mingea,the ball
aparţine,belongs
fals,fake
creşte,grow
pereche,pair
idiotule,idiot
suferit,suffered
slab,weak
răspund,answer
încolo,away
refuzat,declined
acceptat,accepted
taie,cut
ţină,take
miezul,middle
clark,Clark
purtat,worn
centru,center
chef,binge
secretul,the secret
ti-ai,You
ia-ţi,take your
lupte,battles
albastru,blue
căpitan,captain
sută,hundred
deschisă,Open
dovadă,proof
deoparte,aside
aveți,you have
ascultat,listened
accept,I accept
seamănă,resembles
lucy,Lucy
dispari,get lost
altele,more
urcă,get on
primeşti,you get
rahatul,shit
găseşte,find
încercam,we try
destule,enough
locuieşte,lives
geanta,bag
reuşi,SUCCEED
dave,Dave
descurca,disentangle
curtea,court
calm,calm
gresit,wrong
stiut,know
începutul,early
